,B1,YEAR_OCCUR,VALS
0,BRONX,2012,727
1,BRONX,2013,1622
2,BRONX,2014,1438
3,BRONX,2015,1334
4,BRONX,2016,1425
5,BRONX,2017,1456
6,BRONX,2018,1580
7,BRONX,2019,1512
8,BRONX,2020,1072
9,BRONX,2021,1178
10,BRONX,2022,1282
11,BRONX,2023,1013
12,BROOKLYN,2012,1793
13,BROOKLYN,2013,3511
14,BROOKLYN,2014,3238
15,BROOKLYN,2015,2974
16,BROOKLYN,2016,3242
17,BROOKLYN,2017,3171
18,BROOKLYN,2018,3295
19,BROOKLYN,2019,3215
20,BROOKLYN,2020,2048
21,BROOKLYN,2021,2230
22,BROOKLYN,2022,2573
23,BROOKLYN,2023,2259
24,MANHATTAN,2012,1378
25,MANHATTAN,2013,2761
26,MANHATTAN,2014,2524
27,MANHATTAN,2015,2300
28,MANHATTAN,2016,2438
29,MANHATTAN,2017,2341
30,MANHATTAN,2018,2328
31,MANHATTAN,2019,2095
32,MANHATTAN,2020,1149
33,MANHATTAN,2021,1432
34,MANHATTAN,2022,1766
35,MANHATTAN,2023,1481
36,QUEENS,2012,1129
37,QUEENS,2013,2261
38,QUEENS,2014,2117
39,QUEENS,2015,1975
40,QUEENS,2016,2318
41,QUEENS,2017,2349
42,QUEENS,2018,2359
43,QUEENS,2019,2345
44,QUEENS,2020,1490
45,QUEENS,2021,1534
46,QUEENS,2022,1892
47,QUEENS,2023,1666
48,STATEN ISLAND,2012,194
49,STATEN ISLAND,2013,312
50,STATEN ISLAND,2014,235
51,STATEN ISLAND,2015,243
52,STATEN ISLAND,2016,814
53,STATEN ISLAND,2017,1135
54,STATEN ISLAND,2018,1027
55,STATEN ISLAND,2019,905
56,STATEN ISLAND,2020,598
57,STATEN ISLAND,2021,718
58,STATEN ISLAND,2022,906
59,STATEN ISLAND,2023,706
