,VEHICLE_YEAR,YEARLY_COUNT
0,1900,7
1,1920,2
2,1921,1
3,1923,1
4,1926,1
5,1930,1
6,1932,1
7,1933,2
8,1936,2
9,1939,1
10,1940,2
11,1941,1
12,1942,1
13,1945,1
14,1946,1
15,1948,1
16,1949,4
17,1950,6
18,1951,3
19,1952,2
20,1953,3
21,1954,2
22,1955,3
23,1956,3
24,1957,4
25,1958,6
26,1959,6
27,1960,7
28,1962,7
29,1963,10
30,1964,15
31,1965,29
32,1966,45
33,1967,24
34,1968,25
35,1969,25
36,1970,34
37,1971,56
38,1972,50
39,1973,47
40,1974,42
41,1975,46
42,1976,68
43,1977,56
44,1978,81
45,1979,95
46,1980,78
47,1981,89
48,1982,100
49,1983,152
50,1984,205
51,1985,254
52,1986,265
53,1987,485
54,1988,544
55,1989,678
56,1990,886
57,1991,1060
58,1992,1381
59,1993,1748
60,1994,2637
61,1995,4374
62,1996,5185
63,1997,8730
64,1998,12569
65,1999,17682
66,2000,26263
67,2001,29256
68,2002,37731
69,2003,47756
70,2004,55374
71,2005,63532
72,2006,70454
73,2007,79973
74,2008,75982
75,2009,63314
76,2010,71066
77,2011,85545
78,2012,95873
79,2013,120950
80,2014,143863
81,2015,196159
82,2016,197549
83,2017,171328
84,2018,108337
85,2019,65514
86,2020,28205
87,2021,10919
88,2022,683
89,2023,39
90,2024,37
