,PED_ACTION,HOUR_OCCUR,VALS
0,Crossing Against Signal,17,429
1,Crossing Against Signal,18,413
2,Crossing Against Signal,19,384
3,Crossing Against Signal,15,374
4,Crossing Against Signal,16,358
5,Crossing Against Signal,14,346
6,Crossing Against Signal,20,330
7,Crossing Against Signal,8,301
8,Crossing Against Signal,21,300
9,Crossing Against Signal,13,243
10,Crossing Against Signal,22,234
11,Crossing Against Signal,0,228
12,Crossing Against Signal,12,223
13,Crossing Against Signal,11,203
14,Crossing Against Signal,9,198
15,Crossing Against Signal,23,192
16,Crossing Against Signal,7,182
17,Crossing Against Signal,10,154
18,Crossing Against Signal,6,151
19,Crossing Against Signal,1,93
20,Crossing Against Signal,2,76
21,Crossing Against Signal,4,71
22,Crossing Against Signal,5,70
23,Crossing Against Signal,3,59
24,Crossing With Signal,18,2446
25,Crossing With Signal,17,2433
26,Crossing With Signal,19,2148
27,Crossing With Signal,16,1825
28,Crossing With Signal,20,1802
29,Crossing With Signal,15,1786
30,Crossing With Signal,8,1655
31,Crossing With Signal,14,1625
32,Crossing With Signal,13,1436
33,Crossing With Signal,21,1406
34,Crossing With Signal,12,1379
35,Crossing With Signal,9,1372
36,Crossing With Signal,11,1320
37,Crossing With Signal,10,1239
38,Crossing With Signal,7,1069
39,Crossing With Signal,22,1039
40,Crossing With Signal,6,855
41,Crossing With Signal,0,799
42,Crossing With Signal,23,721
43,Crossing With Signal,5,333
44,Crossing With Signal,1,247
45,Crossing With Signal,4,173
46,Crossing With Signal,2,169
47,Crossing With Signal,3,139
48,"Crossing, No Signal, Marked Crosswalk",17,614
49,"Crossing, No Signal, Marked Crosswalk",18,608
50,"Crossing, No Signal, Marked Crosswalk",8,513
51,"Crossing, No Signal, Marked Crosswalk",19,474
52,"Crossing, No Signal, Marked Crosswalk",16,411
53,"Crossing, No Signal, Marked Crosswalk",20,402
54,"Crossing, No Signal, Marked Crosswalk",14,374
55,"Crossing, No Signal, Marked Crosswalk",15,374
